Source,Target,Type,Id,Label,Weight
55150180,55140385,Undirected,0,,1
55150180,55120000,Undirected,1,,1
55150180,55004272,Undirected,2,,1
55150180,54982531,Undirected,3,,1
55150180,54811282,Undirected,4,,1
55150180,54727723,Undirected,5,,1
55150180,54126607,Undirected,6,,1
55150180,53906818,Undirected,7,,1
55150180,53597356,Undirected,8,,1
55150180,53574403,Undirected,9,,1
55150180,53409010,Undirected,10,,1
55150180,53284015,Undirected,11,,1
55150180,52971490,Undirected,12,,1
55150180,52630069,Undirected,13,,1
55150180,52582042,Undirected,14,,1
55150180,52543297,Undirected,15,,1
55150180,52527937,Undirected,16,,1
55150180,51720805,Undirected,17,,1
55150180,51718189,Undirected,18,,1
55150180,51629701,Undirected,19,,1
55150180,51359560,Undirected,20,,1
55150180,50253802,Undirected,21,,1
55150180,50091712,Undirected,22,,1
55150180,50033236,Undirected,23,,1
55150180,49635376,Undirected,24,,1
55150180,49480597,Undirected,25,,1
55150180,49371913,Undirected,26,,1
55150180,48383845,Undirected,27,,1
55150180,47671984,Undirected,28,,1
55150180,47458630,Undirected,29,,1
55150180,47436889,Undirected,30,,1
55150180,47319151,Undirected,31,,1
55150180,47238874,Undirected,32,,1
55150180,46867873,Undirected,33,,1
55150180,46783768,Undirected,34,,1
55150180,46778032,Undirected,35,,1
55150180,46752670,Undirected,36,,1
55150180,46365688,Undirected,37,,1
55150180,45707137,Undirected,38,,1
55150180,45656128,Undirected,39,,1
55150180,45262036,Undirected,40,,1
55150180,45261853,Undirected,41,,1
55150180,45088921,Undirected,42,,1
55150180,45035839,Undirected,43,,1
55150180,44897836,Undirected,44,,1
55150180,44757718,Undirected,45,,1
55150180,44755155,Undirected,46,,1
55150180,44732743,Undirected,47,,1
55150180,44523739,Undirected,48,,1
55150180,44385730,Undirected,49,,1
55150180,44383567,Undirected,50,,1
55150180,44363299,Undirected,51,,1
55150180,44359531,Undirected,52,,1
55150180,44214046,Undirected,53,,1
55150180,43899033,Undirected,54,,1
55150180,43889862,Undirected,55,,1
55150180,43765851,Undirected,56,,1
55150180,43605172,Undirected,57,,1
55150180,43358442,Undirected,58,,1
55150180,43241698,Undirected,59,,1
55150180,43158394,Undirected,60,,1
55150180,43144594,Undirected,61,,1
55150180,42859368,Undirected,62,,1
55150180,42488337,Undirected,63,,1
55150180,42467853,Undirected,64,,1
55150180,41759385,Undirected,65,,1
55150180,41640003,Undirected,66,,1
55150180,41635680,Undirected,67,,1
55150180,41241234,Undirected,68,,1
55150180,40512330,Undirected,69,,1
55150180,40203960,Undirected,70,,1
55150180,39943224,Undirected,71,,1
55150180,39792693,Undirected,72,,1
55150180,39768741,Undirected,73,,1
55150180,39399174,Undirected,74,,1
55150180,39398265,Undirected,75,,1
55150180,39398130,Undirected,76,,1
55150180,39251949,Undirected,77,,1
55150180,39006924,Undirected,78,,1
55150180,37912996,Undirected,79,,1
55150180,36096208,Undirected,80,,1
55150180,35429644,Undirected,81,,1
55150180,35343661,Undirected,82,,1
55150180,35342587,Undirected,83,,1
55150180,35151154,Undirected,84,,1
55150180,35028649,Undirected,85,,1
55150180,35027962,Undirected,86,,1
55150180,35027806,Undirected,87,,1
55150180,35027128,Undirected,88,,1
55150180,34986325,Undirected,89,,1
55150180,34970776,Undirected,90,,1
55150180,34906729,Undirected,91,,1
55150180,34891807,Undirected,92,,1
55150180,34717030,Undirected,93,,1
55150180,34323934,Undirected,94,,1
55150180,33715321,Undirected,95,,1
55150180,32684734,Undirected,96,,1
55150180,32247706,Undirected,97,,1
55150180,32064610,Undirected,98,,1
55150180,31981432,Undirected,99,,1
55150180,31909897,Undirected,100,,1
55150180,31909720,Undirected,101,,1
55150180,31909642,Undirected,102,,1
55150180,31818055,Undirected,103,,1
55150180,31250579,Undirected,104,,1
55150180,30982418,Undirected,105,,1
55150180,30714734,Undirected,106,,1
55150180,30607886,Undirected,107,,1
55150180,30570080,Undirected,108,,1
55150180,30550911,Undirected,109,,1
55150180,30550875,Undirected,110,,1
55150180,30550791,Undirected,111,,1
55150180,30529788,Undirected,112,,1
55150180,29961414,Undirected,113,,1
55150180,29242884,Undirected,114,,1
55150180,28047516,Undirected,115,,1
55150180,28028118,Undirected,116,,1
55150180,27789625,Undirected,117,,1
55150180,27772279,Undirected,118,,1
55150180,27701111,Undirected,119,,1
55150180,27684952,Undirected,120,,1
55150180,27623804,Undirected,121,,1
55150180,27619385,Undirected,122,,1
55150180,27615719,Undirected,123,,1
55150180,27583675,Undirected,124,,1
55150180,27572062,Undirected,125,,1
55150180,26130079,Undirected,126,,1
55150180,26130028,Undirected,127,,1
55150180,25992556,Undirected,128,,1
55150180,25015054,Undirected,129,,1
55150180,23508133,Undirected,130,,1
55150180,21791515,Undirected,131,,1
55150180,20933204,Undirected,132,,1
55150180,19345435,Undirected,133,,1
55150180,19216210,Undirected,134,,1
55150180,18472108,Undirected,135,,1
55150180,16572176,Undirected,136,,1
55150180,15479217,Undirected,137,,1
55150180,9420512,Undirected,138,,1
55150180,7084837,Undirected,139,,1
55150180,3969237,Undirected,140,,1
55150180,3665940,Undirected,141,,1
55150180,3482228,Undirected,142,,1
55140385,55120000,Undirected,143,,1
55140385,55004272,Undirected,144,,1
55140385,54982531,Undirected,145,,1
55140385,54811282,Undirected,146,,1
55140385,54727723,Undirected,147,,1
55140385,54126607,Undirected,148,,1
55140385,53906818,Undirected,149,,1
55140385,53777116,Undirected,150,,1
55140385,53597356,Undirected,151,,1
55140385,53574403,Undirected,152,,1
55140385,53409010,Undirected,153,,1
55140385,53284015,Undirected,154,,1
55140385,53074330,Undirected,155,,1
55140385,52971490,Undirected,156,,1
55140385,52772146,Undirected,157,,1
55140385,52630069,Undirected,158,,1
55140385,52582042,Undirected,159,,1
55140385,52543297,Undirected,160,,1
55140385,52527937,Undirected,161,,1
55140385,52468762,Undirected,162,,1
55140385,51720805,Undirected,163,,1
55140385,51718189,Undirected,164,,1
55140385,51629701,Undirected,165,,1
55140385,51611137,Undirected,166,,1
55140385,51501199,Undirected,167,,1
55140385,51359560,Undirected,168,,2
55140385,51229609,Undirected,169,,1
55140385,50997415,Undirected,170,,1
55140385,50805502,Undirected,171,,1
55140385,50751886,Undirected,172,,1
55140385,50253802,Undirected,173,,1
55140385,50192656,Undirected,174,,1
55140385,50166034,Undirected,175,,1
